,DOCENTE,UNIDADE,CARGO,VINCULO,STATUS,Nota_RAD,Ensino,Pesquisa,Extensão,Gestão
529,530,FCAP,Professor Adjunto,Em Exercício,Validada,167.29,75.35,38.58,38.76,14.6
531,532,FENSG,Professor Adjunto,Em Exercício,Validada,50.64,21.76,2.96,15.83,10.09
532,533,Reitoria,Professor Adjunto,Em Exercício,Validada,173.62,51.07,40.75,14.21,67.59
533,534,Mata Norte,Professor Adjunto,Em Exercício,Validada,118.14,56.33,43.9,10.41,7.5
534,535,Petrolina,Professor Assistente,Afastamento Total,Validada,6.5,,,,
535,536,Mata Norte,Professor Assistente,Em Exercício,Validada,110.67,17.55,7.13,15.41,70.58
537,538,FENSG,Professor Adjunto,Em Exercício,Validada,254.89,80.12,68.71,46.19,59.87
538,539,FENSG,Professor Assistente,Em Exercício,Validada,166.51,23.63,14.47,40.38,88.03
539,540,ICB,Professor Adjunto,Em Exercício,Validada,59.65,47.98,2.62,5.61,3.44
540,541,FCM,Professor Auxiliar,Em Exercício,Validada,69.99,38.49,20.8,0.0,10.7
542,543,FENSG,Professor Adjunto,Em Exercício,Validada,148.0,75.14,44.51,28.35,0.0
543,544,FENSG,Professor Adjunto,Em Exercício,Validada,184.01,74.26,53.77,4.76,51.22
544,545,Mata Norte,Professor Associado,Em Exercício,Validada,225.81,88.64,86.71,30.14,20.32
545,546,FCM,Professor Assistente,Em Exercício,Validada,29.47,19.26,6.16,0.0,4.05
546,547,Petrolina,Professor Assistente,Afastamento Total,Validada,6.5,,,,
547,548,FENSG,Professor Assistente,Em Exercício,Validada,177.76,74.71,15.49,17.35,70.21
548,549,POLI,Professor Associado,Em Exercício,Validada,112.35,39.17,31.45,0.0,41.73
550,551,FENSG,Professor Assistente,Em Exercício,Validada,121.0,37.26,1.71,10.02,72.01
552,553,ICB,Professor Adjunto,Em Exercício,Validada,49.27,35.78,7.91,0.0,5.58
553,554,Mata Norte,Professor Associado,Em Exercício,Validada,223.76,83.42,42.64,2.18,95.52
554,555,Petrolina,Professor Assistente,Em Exercício,Validada,73.91,32.57,4.34,0.0,37.0
555,556,Reitoria,Professor Associado,Em Exercício,Validada,160.56,34.55,43.65,2.18,80.18
556,557,FOP,Professor Adjunto,Em Exercício,Validada,146.25,116.06,22.86,0.0,7.33
558,559,Petrolina,Professor Adjunto,Em Exercício,Validada,250.34,125.54,50.42,20.07,54.31
559,560,Petrolina,Professor Adjunto,Afastamento Parcial (6 meses),Validada,123.66,32.69,16.11,22.85,10.79
561,562,Garanhuns,Professor Adjunto,Em Exercício,Validada,82.29,38.54,14.07,15.11,14.57
562,563,Petrolina,Professor Assistente,Em Exercício,Validada,78.39,18.3,7.76,8.33,44.0
563,564,Mata Norte,Professor Titular,Em Exercício,Validada,73.14,34.78,9.42,9.24,19.7
564,565,FCM,Professor Adjunto,Em Exercício,Validada,53.44,33.15,17.24,0.0,3.05
565,566,FENSG,Professor Assistente,Em Exercício,Validada,60.26,33.08,14.29,2.8,10.09
566,567,Petrolina,Professor Adjunto,Em Exercício,Validada,107.63,41.47,43.55,13.19,9.42
567,568,FCAP,Professor Assistente,Em Exercício,Validada,148.95,59.22,9.04,13.76,66.93
