Docente,Cargo,Nota_RAD,Unidade,Ano
a64713b83c7aa3644e07284555a6893b13fcce599f13b60ad76d5e00e6dde49b,Professor Assistente,132.46,Mata Norte,2017
6f11b2ab4780e25b0f810301ae70ed60fcfabfc4515f009fb58a8829ef6d24de,Professor Assistente,67.24,Garanhuns,2017
e0d339509136d6726ef588aaeb1eba672d0a2086c86fe66ea5faf9c9ffeb5dda,Professor Adjunto,,POLI,2017
5160bce32004cfee25c7b3b1fbb6931472edc902c57be16bb001b0c03b31747d,Professor Auxiliar,,FENSG,2017
1a310e201f28c52f70045f52983774dfc3ca1240ea76c0f0ce5502914c2912c3,Professor Assistente,16.5,FCAP,2017
92a6527362405fbaeb9a4422f1aab28c16c6d3670a8b84bd047c41a36915c2a6,Professor Assistente,11.83,POLI,2017
388a89e6a5886074f1d9e86abbcdb93427c47532ff310b890e69241be75983ec,Professor Adjunto,,POLI,2017
69862ebe63065baa8a96555573b26163b6b3ca93b3a9da789443cdaa4d71f1ac,Professor Adjunto,,Petrolina,2017
048adf04e530fdcb369971d91b58c48542b744fbf460db07c7b29a980d9cfbbf,Professor Adjunto,225.91,FOP,2017
8d1dea6a0cd4feb3c0efa181b9f1b8e688fd2d92a4dba5e2ca62096a112a5e11,Professor Adjunto,,FCM,2017
37e43a4ad552fda61ac5f2d91f501a7375c5d6112efd9eaf7b96768fd3811f61,Professor Assistente,74.12,Mata Norte,2017
589d19490ae62b86a10f663577bcb25de59db470901e35e578cd750898c31e3b,Professor Adjunto,68.69,ICB,2017
67b8191674320ab421618314e48e0a7e7001c930985e352d3c1e329c0cc6ecdf,Professor Adjunto,81.28,Garanhuns,2017
6a673229cd25d157628e42bd362c703f2858e770072a7a16cc50824511b24ac2,Professor Adjunto,193.56,POLI,2017
a824e8941a01de6857b7149a4b8815974cc7924959343efade39e98f29b57f96,Professor Assistente,24.31,Garanhuns,2017
4812b1ed4267d6948db33b7144aec46371f87beb2b57d0e9e3b5c9332eda3524,Professor Auxiliar,,FENSG,2017
a63476f2818bfc74a58651a3b1b15a0676decf8c31305fe16a7f49648a0ff885,Professor Adjunto,432.22,FOP,2017
2eeb3953ce47d1032d893e49bb6ab8a20f759905531e598f5f0f4905d4d80975,Professor Adjunto,118.92,Mata Norte,2017
